accuracy,loss,val_accuracy,val_loss,learning_rate
0.31356921792030334,2.021307945251465,0.38877755403518677,1.6470718383789062,0.0010000000474974513
0.4980769157409668,1.4485722780227661,0.509018063545227,1.3609683513641357,0.0010000000474974513
0.5674923062324524,1.2477951049804688,0.5587842464447021,1.2259700298309326,0.0010000000474974513
0.6098615527153015,1.1350889205932617,0.5799933075904846,1.1799653768539429,0.0010000000474974513
0.6355999708175659,1.062135934829712,0.5966933965682983,1.1173690557479858,0.0010000000474974513
0.6568461656570435,1.003734827041626,0.6130594611167908,1.080357551574707,0.0010000000474974513
0.6746923327445984,0.9509693384170532,0.6482130885124207,0.9859789609909058,0.0010000000474974513
0.6918923258781433,0.9021828174591064,0.6845357418060303,0.8828452229499817,0.0010000000474974513
0.7042615413665771,0.8603597283363342,0.6724281907081604,0.8910773992538452,0.0010000000474974513
0.7190923094749451,0.8183019757270813,0.6745157241821289,0.9048485159873962,0.0010000000474974513
0.7312615513801575,0.7793799638748169,0.6804442405700684,0.8695608973503113,0.0010000000474974513
0.7446461319923401,0.743000864982605,0.7153473496437073,0.788571834564209,0.0010000000474974513
0.7534307837486267,0.7136505246162415,0.7226119041442871,0.7861297726631165,0.0010000000474974513
0.7632769346237183,0.6856143474578857,0.7535905241966248,0.7131207585334778,0.0010000000474974513
0.7730307579040527,0.656314492225647,0.7435704469680786,0.735155463218689,0.0010000000474974513
0.7771846055984497,0.636884331703186,0.724031388759613,0.7881412506103516,0.0010000000474974513
0.7850000262260437,0.6167155504226685,0.7369739413261414,0.7558208107948303,0.0010000000474974513
