accuracy,loss,val_accuracy,val_loss,learning_rate
0.8869845867156982,0.33154818415641785,0.9668503403663635,0.08643966168165207,0.0010000000474974513
0.9450461268424988,0.14988286793231964,0.9789578914642334,0.05677298083901405,0.0010000000474974513
0.9551846385002136,0.12219656258821487,0.9859719276428223,0.040594302117824554,0.0010000000474974513
0.9643999934196472,0.09883421659469604,0.9833834171295166,0.055999502539634705,0.0010000000474974513
0.967292308807373,0.08917726576328278,0.9843019247055054,0.05682786554098129,0.0010000000474974513
0.9714154005050659,0.07890860736370087,0.9784569144248962,0.08656108379364014,0.0010000000474974513
0.9746922850608826,0.07041625678539276,0.9777054190635681,0.09459339082241058,0.0010000000474974513
0.9769999980926514,0.0646883174777031,0.9843019247055054,0.06926524639129639,0.0010000000474974513
0.9877846240997314,0.03248037397861481,0.989562451839447,0.045524876564741135,0.0005000000237487257
0.9893845915794373,0.02882336638867855,0.9867234230041504,0.0568448044359684,0.0005000000237487257
0.9901384711265564,0.026021597906947136,0.9877254366874695,0.05168086662888527,0.0005000000237487257
0.9911999702453613,0.02326725795865059,0.9903139472007751,0.044473469257354736,0.0005000000237487257
0.9918461441993713,0.023737594485282898,0.9899799823760986,0.03832624480128288,0.0005000000237487257
0.9912461638450623,0.02453925833106041,0.9913994669914246,0.03890414535999298,0.0005000000237487257
0.9962154030799866,0.011124965734779835,0.9903974533081055,0.04692168906331062,0.0002500000118743628
0.9961384534835815,0.010382586158812046,0.9885604381561279,0.054841239005327225,0.0002500000118743628
0.9961230754852295,0.010575860738754272,0.9901469349861145,0.04518541321158409,0.0002500000118743628
0.9964461326599121,0.009909703396260738,0.989562451839447,0.046981796622276306,0.0002500000118743628
0.9967076778411865,0.008831084705889225,0.989311933517456,0.05254930257797241,0.0002500000118743628
0.9972615242004395,0.007900677621364594,0.990063488483429,0.050858430564403534,0.0002500000118743628
0.9981076717376709,0.005535650998353958,0.9913159608840942,0.04481247439980507,0.0001250000059371814
0.9985230565071106,0.0044731320813298225,0.9917334914207458,0.04017070308327675,0.0001250000059371814
0.9981692433357239,0.005013978574424982,0.9908149838447571,0.04698614403605461,0.0001250000059371814
